NOMBRE_LOCALIDAD,pct_pobreza_ipm,hogares_totales_estimados_emb,hogares_cs,cobertura_cs_por_1000_hogares,estudiantes_oficiales,cobertura_cs_por_1000_estudiantes
Sumapaz,15.580286168521464,1135.1137796,0.0,0.0,715.0,0.0
Usme,10.226706094715308,128688.9211454,0.0,0.0,59064.0,0.0
Ciudad Bolívar,8.576726356841052,208702.0857477,4551.0,21.806202768388737,89415.0,50.89750041939272
Santa Fe,7.991647767206479,39064.3543189,677.0,17.330377317217195,6958.0,97.29807415924115
Rafael Uribe Uribe,6.667841534807558,136687.3544448,5760.0,42.13996256929624,43129.0,133.55282988244568
Bosa,6.48910852270174,233692.5056215,17905.0,76.61777579209078,98415.0,181.93364832596657
San Cristóbal,5.036778724255734,135671.0949598,9170.0,67.58993139044921,40391.0,227.03077418236737
Los Mártires,5.0029959114564,33136.5946373,0.0,0.0,8512.0,0.0
La Candelaria,4.262377751438857,7603.195214,0.0,0.0,2068.0,0.0
Tunjuelito,3.845420085012996,70431.8562998,3623.0,51.43979145712631,25857.0,140.1167962253935
Kennedy,3.824175345991442,365083.8463261,12790.0,35.03304824003558,91488.0,139.79975515914654
Antonio Nariño,3.3027834314340643,28217.651004,0.0,0.0,0.0,
Puente Aranda,2.628085933060699,89938.2369338,0.0,0.0,15140.0,0.0
Suba,2.5962044321035687,446351.7796251,13790.0,30.894914346667335,69503.0,198.40870178265686
Engativá,2.473208321919088,297273.4026382,4531.0,15.241861396912478,52622.0,86.10467105013113
Fontibón,1.8328450831064473,146776.9006282,0.0,0.0,22992.0,0.0
Usaquén,1.5181264126596012,230088.7918405,0.0,0.0,22306.0,0.0
Chapinero,1.2655859835842929,78022.1553342,0.0,0.0,2742.0,0.0
Barrios Unidos,1.194674973924427,56437.5527584,0.0,0.0,8541.0,0.0
Teusaquillo,0.45924248455388716,77346.1194787,0.0,0.0,2354.0,0.0
