NOMBRE_UPZ_GRUPO,pct_pobreza_ipm,hogares_totales_estimados_emb,hogares_cs,estudiantes_oficiales,cobertura_cs_por_1000_hogares,cobertura_cs_por_1000_estudiantes
USME: Alfonso López + Ciudad Usme,16.510319508241558,25148.782425,0.0,7499.0,0.0,0.0
La Flora,15.266510428400162,6762.2346537,0.0,4885.0,0.0,0.0
Lourdes,14.0725886637028,13755.4432561,367.0,2448.0,26.680347057318556,149.91830065359477
CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,13.000301334321549,18859.6727741,37.0,11070.0,1.9618580048118397,3.342366757000903
Lucero,10.61856141031076,54244.1445129,260.0,25340.0,4.793144077296093,10.260457774269929
USME: Parque Entrenubes + Danubio,10.16162974246939,18905.4349547,24.0,6730.0,1.2694762145122434,3.566121842496285
San Isidro - Patios,10.089829261379526,5746.4876152,0.0,0.0,0.0,
Diana Turbay,9.70775809292978,26469.7467675,323.0,6617.0,12.202610128351694,48.81366178026296
Marco Fidel Suárez,9.461298327986798,18328.1797866,420.0,6946.0,22.915532523697095,60.466455513964874
Patio Bonito,9.438807613564641,45151.6307428,888.0,15362.0,19.667063744792934,57.804973310766826
Corabastos,8.97432548818825,19196.0874471,358.0,1910.0,18.64963373325766,187.434554973822
Jerusalén,8.950937509115652,30043.9708529,0.0,5959.0,0.0,0.0
Bosa Occidental,8.110857445260244,62953.9199827,863.0,22846.0,13.708439446457918,37.774665149260265
Gran Yomasa,7.979313674559043,42792.7441114,0.0,21170.0,0.0,0.0
Ismael Perdomo,7.961446377165404,53011.8518088,298.0,24906.0,5.621384460871292,11.964988356219385
Las Cruces,7.816092715701983,7607.6335994,86.0,2261.0,11.304435062012274,38.03626713843432
San Francisco,7.723134737040802,22396.7022057,377.0,11784.0,16.832835322695537,31.992532247114728
Marruecos,6.939208057905014,38696.0752105,487.0,8155.0,12.585255671300091,59.717964438994485
Comuneros,6.837275078197283,32150.9146518,0.0,17893.0,0.0,0.0
La Sabana,6.661553938380198,15417.8210895,57.0,5263.0,3.697020458929746,10.830324909747292
Tunjuelito,6.542687906350678,14950.3681056,295.0,4879.0,19.731955622517486,60.46320967411355
El Porvenir,6.349558290328204,45759.3198101,701.0,15454.0,15.319283654327291,45.36042448557008
San Blas,6.064118743009833,33637.8635849,508.0,8709.0,15.10202925693654,58.33046273969457
Tintál Sur,5.889622044737478,34660.5380531,283.0,20341.0,8.164904986946354,13.912786981957623
Bosa Central,5.767920500427985,78827.0334094,1421.0,38178.0,18.026810581844728,37.22038870553722
Los Libertadores,5.572754084622441,26393.7596647,409.0,7026.0,15.496087150744646,58.21235411329348
La Gloria,5.5489446103210325,33016.3081461,644.0,9208.0,19.50551215933183,69.93918331885317
Engativá,5.515550976463214,48220.2524725,697.0,9348.0,14.454507478937384,74.56140350877193
Gran Britalia,5.431424022220604,21367.5192611,360.0,4165.0,16.848001660884766,86.43457382953181
San Cristóbal Norte,5.126984712171579,25513.9816683,137.0,5122.0,5.369604861408852,26.74736431081609
Quiroga,4.980775204254318,34690.2176919,7.0,11785.0,0.2017859922981823,0.5939753924480271
Apogeo,4.915616276408102,11491.6943662,146.0,3843.0,12.704827969444018,37.99115274525111
La Macarena,4.544363421211652,4895.7765253,27.0,375.0,5.514957608965927,72.0
El Rincón,4.533846470149163,99770.7388634,645.0,25083.0,6.464821322843911,25.71462743690946
Fontibón San Pablo,4.2829627751017485,11556.9839546,56.0,2063.0,4.845554880061112,27.14493456131847
La Candelaria,4.262377751438857,7603.195214,58.0,2068.0,7.628371805211945,28.046421663442942
Tibabuyes,4.173610143979896,91657.8695669,1139.0,21512.0,12.426647110411587,52.94719226478245
Calandaima,4.12853607068708,42668.406998,279.0,4639.0,6.538795788956396,60.14227204138823
20 de Julio,4.088676495343334,26907.7645701,361.0,6993.0,13.416201820092644,51.62305162305162
PUENTE ARANDA: Zona Industrial + Puente Aranda,3.6070860511540244,6829.6614388,16.0,2280.0,2.3427222774327254,7.017543859649123
Santa Isabel,3.559817530250653,17718.7735478,1.0,3249.0,0.056437314766865566,0.3077870113881194
