dane12_ee,nom_establecimiento_educativo,nom_localidad,estudiantes_oficiales
111001107875,COLEGIO CIUDADELA EDUCATIVA DE BOSA (IED),BOSA,5861
111001024732,COLEGIO INEM FRANCISCO DE PAULA SANTANDER (IED),KENNEDY,5273
111001027391,COLEGIO MANUEL CEPEDA VARGAS (IED),KENNEDY,5061
111769003424,COLEGIO GERARDO PAREDES (IED),SUBA,4937
111769003360,COLEGIO REPUBLICA DOMINICANA (IED),SUBA,4692
111001086801,COLEGIO CEDID CIUDAD BOLIVAR (IED),CIUDAD BOLIVAR,4673
111001002909,COLEGIO CARLOS ALBAN HOLGUIN (IED),BOSA,4510
111001086835,COLEGIO SIERRA MORENA (IED),CIUDAD BOLIVAR,4447
111102000753,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),BOSA,4346
211102000243,COLEGIO EL PORVENIR (IED),BOSA,3995
111001011011,COLEGIO INSTITUTO TECNICO INDUSTRIAL PILOTO (IED),TUNJUELITO,3949
111001030015,COLEGIO ENRIQUE OLAYA HERRERA (IED),RAFAEL URIBE URIBE,3948
111001010031,COLEGIO CEDID SAN PABLO (IED),BOSA,3890
111001035530,COLEGIO TECNICO JOSE FELIX RESTREPO (IED),SAN CRISTOBAL,3791
211001076958,COLEGIO VILLAS DEL PROGRESO (IED),BOSA,3738
111001045225,COLEGIO TIBABUYES UNIVERSAL (IED),SUBA,3630
111001104329,COLEGIO CARLOS PIZARRO LEON GOMEZ (IED),BOSA,3529
111001010251,COLEGIO VENECIA (IED),TUNJUELITO,3489
111001013676,COLEGIO NUEVO CHILE (IED),BOSA,3464
111001076376,COLEGIO MARRUECOS Y MOLINOS (IED),RAFAEL URIBE URIBE,3447
111279000966,COLEGIO INTEGRADO DE FONTIBON IBEP (IED),FONTIBON,3445
111265000025,COLEGIO GENERAL SANTANDER (IED),ENGATIVA,3445
111001106968,COLEGIO JOSE FRANCISCO SOCARRAS (IED),BOSA,3429
111001010740,COLEGIO INSTITUTO TECNICO INDUSTRIAL FRANCISCO JOSE DE CALDAS (IED),ENGATIVA,3423
111001104183,COLEGIO LEONARDO POSADA PEDRAZA (IED),BOSA,3407
111001046477,COLEGIO GRANCOLOMBIANO (IED),BOSA,3382
111001036781,COLEGIO RODRIGO LARA BONILLA (IED),CIUDAD BOLIVAR,3366
111001076937,COLEGIO SAN FRANCISCO (IED),CIUDAD BOLIVAR,3317
111001107816,COLEGIO CUNDINAMARCA (IED),CIUDAD BOLIVAR,3299
111001086665,COLEGIO RAMON DE ZUBIRIA (IED),SUBA,3239
