SCaNombre,hogares_cs
DINDALITO,176
SAN DIEGO-BOSA,171
SANTA RITA DE SUBA,151
LAS MARGARITAS,149
TIBABUYES,149
SANTA FE BOSA,147
PARCELA EL PORVENIR,138
GRAN COLOMBIANO,136
ESCOCIA,136
SAN PEDRO,135
GRANJAS SAN PABLO,132
CHUCUA DE LA VACA II,128
SAN VICENTE FERRER,125
GALAN,124
EL RETAZO,117
DIANA TURBAY,117
LAS ACACIAS,117
SABANA DEL DORADO,116
SAN CARLOS,109
CANAVERALEJO,109
JOSE MARIA CARBONEL,108
EL ROCIO,107
TIBABUYES OCCIDENTAL,106
EL CORZO,104
SANTA CECILIA,103
FATIMA,101
SAMORE,100
SAN MARTIN SUR,99
CIUDADELA EL RECREO,99
LUCERO DEL SUR,99
GRAN BRITALIA I,98
OLARTE,97
EL JAZMIN,95
SAN BERNARDINO I,93
ISLA DEL SOL,92
BELLO HORIZONTE,92
TUNJUELITO,91
BRASIL,89
SAN CAYETANO,89
LA GAITANA,88
LISBOA,87
OSORIO III,86
LA ESTACION BOSA,86
MARANDU,86
DIANA TURBAY ARRAYANES,86
PATIO BONITO,85
CIUDAD BACHUE I ETAPA,84
BRASILIA,84
LOS LAURELES,82
LAS LOMAS,81
TIBABUYES II,79
ENGATIVA ZONA URBANA,79
CALANDAIMA,78
EL REMANSO I,78
SAN FRANCISCO,78
EL MUELLE,78
SANTA INES SUR,77
LOS ALMENDROS,76
PROVIVIENDA OCCIDENTAL,76
MARIA PAZ,76
CIUDAD DE CALI,73
PASO ANCHO,73
MARRUECOS,72
ARBORIZADORA BAJA,72
SAN PABLO BOSA,72
LA RESURRECCION,71
LAS CRUCES,71
LA GLORIA ORIENTAL,70
HIPOTECHO SUR,70
EL CORZO I,70
LUIS CARLOS GALAN,70
CAMPO VERDE,70
VERGEL OCCIDENTAL,70
CENTRO ENGATIVA II,69
LOS MOLINOS,68
ALTAMIRA,68
LA ESTANCIA,67
GRAN BRITALIA,67
CIUDADELA EL RECREO II,66
EL CARMEN,66
CHICO SUR,65
LA VICTORIA,65
LOS LIBERTADORES,65
GUALOCHE,65
SANTA RITA SUR ORIENTAL,64
LA INDEPENDENCIA,64
MOLINOS DEL SUR,64
JOSE ANTONIO GALAN,63
CALLEJON SANTA BARBARA,62
VILLA ANNY I,61
MARCO FIDEL SUAREZ I,61
VILLAS DEL PROGRESO,61
HOSPITAL SAN CARLOS,61
SAN ANTONIO ENGATIVA,60
PATIO BONITO II,60
LA ALAMEDA,60
BOSQUE DE PINOS,60
SANTA INES SUR II,59
SAN ANTONIO,59
CHUCUA DE LA VACA I,59
TOSCANA,58
LA FAENA,57
ARBOLEDA SUR,56
BOLIVIA,56
NUEVA GRANADA BOSA,55
RAMIREZ,55
LOS NARANJOS,55
SAN CRISTOBAL SUR,55
CANADA O GUIRA,55
MEXICO,55
EL CHANCO I,54
GRANJAS DE SANTA SOFIA,54
LA LIBERTAD,53
LA MAGDALENA I,53
TINTALA,53
MILLAN,52
EL CARMELO,52
GIRARDOT,52
EL PARAISO,51
LAS GUACAMAYAS I,51
EL PLAYON,51
CASA BLANCA SUR,50
RINCON ALTAMAR,50
EL CHIRCAL SUR,50
VILLA ALCAZAR,49
BUENOS AIRES,49
PERDOMO ALTO,49
CLASS,48
CEMENTERIO JARDINES APOGEO,48
ANDALUCIA II,47
LA CORUNA,47
JACQUELINE,47
ALQUERIA LA FRAGUA,46
SAN BERNARDINO XIX,46
SAN BENITO,46
ABRAHAM LINCOLN,46
PUERTO RICO,45
SAN AGUSTIN,45
SANTA CECILIA PUENTE NORTE,45
VERONA,45
BILBAO,45
AURES II,44
LA RESURRECCION I,43
CIUDAD HUNZA,43
BERLIN,43
CANDELARIA LA NUEVA,43
SUBA CERROS,42
PUERTA DEL SOL,42
JIMENEZ DE QUESADA II SECTOR,42
LAS GUACAMAYAS III,42
LA GLORIA OCCIDENTAL,42
VITELMA,42
EL DANUBIO AZUL,42
LAGO DE SUBA,42
VILLA DE LOS ALPES,41
LOS LAURELES II,41
LOS ALPES,41
EL REFUGIO,41
CORDOBA,41
LA RIVIERA,40
EL GACO,40
LA PAZ BOSA,40
SAN FRANCISCO RURAL,40
SAN VICENTE,40
TOCAREMA,40
SOTAVENTO,39
SALITRE SUBA,39
ALQUERIA LA FRAGUA NORTE,39
NUEVA DELHI,38
OSORIO X URBANO,38
ATENAS,38
VILLA MARIA,38
POLICARPA,38
VILLA AMALIA,37
CIUDAD BACHUE,37
CHUCUA DE LA VACA III,37
EL DORADO,37
PALERMO SUR,37
NUEVA GLORIA,37
DINTALITO,37
EL ENSUENO,37
LA CECILIA,37
VILLA DEL MAR,37
TIBABUYES UNIVERSAL,36
RONDA,36
VALLADOLID,35
SAN BLAS,35
LLANO GRANDE,34
BETANIA,34
TUNA BAJA,34
LA BELLEZA,34
JIMENEZ DE QUESADA,34
EL PENON DEL CORTIJO,34
EL RINCON,32
BOCHICA,32
LOURDES,32
AURES,31
NUEVA TIBABUYES,31
VILLA ANNY II,30
SAN JOSE SUR ORIENTAL,30
SIBERIA CENTRAL,30
SAN BERNARDINO II,30
BOSA,30
GRANADA SUR,30
EL PINAR,30
JORGE URIBE BOTERO,29
QUINDIO,29
SAN ANTONIO NOROCCIDENTAL,29
PATIO BONITO III,29
LA CITA,28
LA PRIMAVERA I,28
VILLA HERMOSA,28
SAN ANTONIO URBANO,28
LA CAROLINA DE SUBA,27
QUINTAS DEL SUR,27
CAMPO HERMOSO,27
EL GUAVIO,27
LA GAITANA ORIENTAL,27
LAS GUACAMAYAS IV,26
SAN CARLOS DE SUBA,26
JUAN REY (LA PAZ),25
VILLA MARIA I,25
CERROS DE ORIENTE,25
BELLAVISTA SUR,25
ALQUERIA LA FRAGUA II,25
LECH WALESA,24
LA FAVORITA,24
CATALINA,24
CATALINA II,24
GALICIA,24
TINTALITO,24
EL SATELITE,23
EL PARAISO BOSA,23
SABANA DE TIBABUYES,23
LAS GUACAMAYAS II,23
LOS LACHES,23
RAMAJAL,23
DANUBIO,23
DIANA TURBAY CULTIVOS,23
SAN BLAS II,23
LAS MERCEDES,22
BARCELONA SUR,22
VILLA GLADYS,22
SANTA BARBARA,21
ALTOS DEL ZIPA,21
MORALBA,20
PINOS DE LOMBARDIA,20
LA PERSEVERANCIA,20
PRIMAVERA II,19
SAN BERNARDO,19
SANTA FE,19
ZONA FRANCA,19
BARLOVENTO,18
VILLA DEL CERRO,18
MONTEBELLO,17
RINCON DE SUBA,17
NUEVA YORK,17
CHICALA,16
SAN MARTIN,16
SABANA GRANDE,16
BELEN,16
LA CABANA,16
EL JARDIN,15
CIUDAD BACHUE II,15
PUENTE COLORADO,15
ALTOS DEL POBLADO,15
ISLANDIA,14
EL POA,14
BRISAS ALDEA FONTIBON,14
CARMEN DEL SOL,14
EL RUBI,14
LAS FLORES,14
VILLA DE LOS ALPES I,13
CASA BLANCA SUBA I,13
TIBABITA,13
TAIRONA,12
RENANIA URAPANES,12
EL PORTAL DEL BRASIL,12
LAS BRISAS,12
SUBA URBANO,12
MEISSEN,11
ESTACION CENTRAL,11
VILLA NELLY III SECTOR,11
